Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_UNKNOWN,0,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Invalid,FALSE,N,N,N,N,0,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32A32_TYPELESS,1,DXGI_FORMAT_R32G32B32A32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,B,A,32,32,32,32,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32A32_FLOAT,2,DXGI_FORMAT_R32G32B32A32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32A32_FLOAT,Float,FALSE,R,G,B,A,32,32,32,32,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32A32_UINT,3,DXGI_FORMAT_R32G32B32A32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32A32_UINT,UInt,FALSE,R,G,B,A,32,32,32,32,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32A32_SINT,4,DXGI_FORMAT_R32G32B32A32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32A32_SINT,SInt,FALSE,R,G,B,A,32,32,32,32,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32_TYPELESS,5,DXGI_FORMAT_R32G32B32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,B,N,32,32,32,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32_FLOAT,6,DXGI_FORMAT_R32G32B32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32_FLOAT,Float,FALSE,R,G,B,N,32,32,32,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32_UINT,7,DXGI_FORMAT_R32G32B32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32_UINT,UInt,FALSE,R,G,B,N,32,32,32,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32G32B32_SINT,8,DXGI_FORMAT_R32G32B32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32G32B32_SINT,SInt,FALSE,R,G,B,N,32,32,32,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16B16A16_TYPELESS,9,DXGI_FORMAT_R16G16B16A16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,B,A,16,16,16,16,Pixel,Hardware,Void,Void,Void,Void
